ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
5859,11707,8374,11202,13321,31174
3870,10809,7748,9396,11120,27395
3414,11204,8778,10513,10901,27215
3668,10547,8226,10027,11335,27703
3681,10455,8076,9876,10829,27425
3480,10861,8000,9517,10667,27419
3853,10261,7400,9026,10503,27139
3750,10517,8264,9371,10686,26929
3581,11329,8640,10067,10791,27054
3567,10449,8570,9246,10733,26819
3488,10895,8430,9612,10154,26774
3729,10066,8068,10253,10522,27129
3661,10481,8595,9387,10528,26929
3519,10588,8613,9282,10368,26895
3734,10724,8414,9206,10881,27194
3723,10738,8124,10321,10504,26595
3734,10904,8140,10414,10933,27547
3689,10834,8419,9514,10730,27184
3384,10969,8484,10309,9768,26393
3790,10843,7981,9076,9745,26320
3677,10608,8498,9538,10705,26865
3694,10801,8333,10332,10660,27272
3790,10889,8508,9265,10572,27176
3520,10369,8491,9603,10506,27293
3700,11267,8818,8649,10475,27020
3620,10397,7821,9741,10264,26883
3712,10865,8562,9948,10970,27378
3477,10659,8277,9931,11079,27257
3643,10160,7962,9065,10378,26938
3635,10926,8429,10186,9884,26552
3661,10991,8140,9082,10552,27251
3431,11171,9133,9217,10542,27057
3802,10921,8627,10030,10478,26983
11847,11168,8132,9607,10841,27496
3656,10676,8367,9495,10198,26627
3733,10751,8278,9125,10477,26496
3455,11095,8954,9758,10579,27266
3756,10938,9099,8571,10092,26776
3514,11004,8243,8775,11092,27432
3820,10931,8421,10197,10442,27152
3522,10740,8434,8548,10284,27018
3489,10466,8467,9267,10745,26934
3612,10483,8694,9659,10568,26899
3729,10645,7474,10160,10829,27339
3503,10681,8383,9664,10597,27332
3444,10517,7884,10393,10123,26858
3525,10955,8428,9962,10255,27259
3579,10694,8643,9941,10601,27234
3694,10456,7618,8600,10308,26987
3835,11042,8724,9414,10968,27382
3645,10320,8666,9598,11213,27757
3650,11177,8928,9882,10150,26597
3564,10600,7942,10848,10507,26847
3636,11086,8574,9048,10743,27144
3840,10771,8324,10729,10629,27066
3669,10706,8273,8552,10268,26417
3700,10443,8237,9192,10776,27630
3680,10653,8112,9298,10418,26896
3724,10230,7642,10090,10666,27545
3661,10829,8636,9032,10328,26889
3594,10836,8568,9666,10455,27150
3801,10229,8398,9204,10559,27245
3709,11315,8730,9621,10287,26807
3471,10824,8119,8887,10228,26715
3595,10821,8188,9338,10763,27160
3824,10892,8112,10629,10305,26953
3462,10695,8646,9086,10834,27186
3483,10753,7825,9994,10501,26699
3691,10777,8092,10042,10587,27035
3534,10535,8018,8656,11157,27772
3745,10748,8558,8962,10764,27400
3604,10304,7482,9587,13973,26725
3695,10695,8349,10172,10702,27575
3683,11049,8655,9961,10702,27354
3767,10649,8339,9729,10399,27295
3867,10534,7492,9817,10626,27285
3782,11052,8328,9727,10328,30363
3507,10802,8152,9266,11032,27335
3589,10289,8675,9143,10540,27409
3422,10143,8029,9035,11033,27677
3588,10751,8863,10445,10066,26579
3721,10501,7696,9037,10446,27339
3629,10845,8202,9930,10420,26867
3403,10822,8191,8753,11099,27502
3632,10766,8491,8726,10000,26793
3652,10295,8088,9212,10854,27151
3687,10498,7647,8745,11065,27721
3526,10912,8832,9708,10343,27057
3621,10868,8899,9741,10425,26764
3776,10871,8430,9321,10232,26936
3644,10838,7858,9713,10862,27068
3752,10723,7968,8511,10991,27424
3540,10827,8361,10448,10916,27336
3534,10276,8111,9317,10548,27137
3404,10726,8337,8598,11519,28033
3761,10580,8002,9024,9842,26581
3855,10704,8506,9181,9550,26270
3631,10568,7980,9557,10840,27397
3671,10139,8056,9692,10499,26937
3640,10651,8034,9368,10350,26750
3759,10312,7383,9240,10381,27162
3609,11071,8414,8945,11255,27724
3437,10301,8425,10133,10529,26919
3667,11035,8688,8819,10638,131169
4208,10880,7785,9891,11096,27722
3689,11014,8143,10152,10303,26971
3456,11159,8877,9466,10340,26706
3802,10698,8158,9268,9998,26585
3638,10712,7769,9191,10764,27024
3911,10747,8306,10535,10655,27271
3860,10802,8296,9740,9857,26285
3491,10497,8328,10403,10013,26641
3687,11113,8767,9663,10468,26865
3702,10386,7741,10160,10746,27589
3609,10991,297630,10432,10654,3947035
4145,11386,9416,10772,11594,29158
3572,10916,8692,10567,10677,27670
3793,11592,7998,10966,12126,29805
5134,12172,9069,11813,11580,29291
4442,11219,8823,9533,11583,28712
4064,11273,9412,8982,10201,26991
3777,10685,8120,8557,10599,27116
3679,10764,7599,9785,10700,27031
3646,11190,8105,9037,11049,27459
3833,10919,8331,9865,10523,27023
3890,10514,7882,9658,10761,27207
3852,11062,8191,8667,10359,26954
3700,10491,7892,8793,10496,27049
3499,10809,8473,8886,10261,26677
3724,10735,8772,9285,10219,26966
3718,10612,8188,9696,10446,27405
3588,10269,7424,8886,10902,27429
3689,10698,8135,9583,10768,27475
3538,10674,8456,9204,10654,27418
3355,10535,8469,11435,10898,27193
3727,10611,8482,9411,10955,27330
3683,11246,8444,9277,11072,42298
3729,10763,8415,8590,10795,27438
3596,10974,8332,9485,10524,27135
3667,10935,8725,9613,10695,27266
3636,10687,8467,9814,11173,27421
3880,10819,8080,9017,10637,27377
3499,10770,8142,8511,10897,27630
3707,10551,8363,9406,10308,27015
3798,10134,8341,9619,10037,26739
3734,10895,8577,9216,10532,26567
3581,10435,8031,9881,11027,27623
3770,10887,8643,9149,10855,27297
3472,10868,9007,8745,10426,26946
3713,10539,8132,8891,10559,27347
3683,10848,8554,10423,10805,27003
3545,10866,8238,10008,10136,26655
3615,11290,8564,10292,11175,27456
3665,10523,8432,10608,10456,26559
3673,10485,8495,9064,10382,26629
3770,11047,8288,9305,10816,27360
3596,10662,8412,9442,10105,26742
3600,11197,8902,10743,10902,27823
3530,10717,8633,8596,10382,26868
3643,10798,8179,9699,10503,27157
3651,10511,7809,9530,10828,27329
3596,10661,7930,8741,10024,26838
3435,10930,8837,9792,10278,26762
3649,10892,8889,8629,10565,27194
3369,10488,7514,9903,11408,27789
3625,10544,7858,8733,9931,26309
3857,10802,8161,8716,9948,27033
3405,11120,8887,9258,11229,27500
3638,10878,8706,9132,10474,27066
3632,10828,7934,9325,10706,27113
3696,10409,7669,10657,10396,27350
3751,10644,8430,8632,10463,26951
3643,10774,8417,9003,10921,27202
3741,10474,7930,10249,10188,26496
3584,10349,7709,9818,10600,26993
3604,10262,7885,9560,10837,27473
3686,10490,8508,8873,10973,27614
3647,10520,8753,10743,10792,26848
3697,10940,7842,9774,10741,27320
3757,10673,8310,9354,10822,27234
3567,10335,8359,9422,10724,27328
3482,10780,8235,9281,10828,27533
3696,10702,8446,8869,10364,27112
3914,10544,7972,9291,10893,27686
3704,10307,8280,10592,11220,27559
3601,11092,8309,9054,10234,26814
3704,10403,8722,9751,11204,27592
3564,11236,8837,8987,10838,26944
3635,11028,7893,11691,10750,27259
3611,10791,8683,9057,10744,27146
3666,10697,7900,9297,10747,27473
3652,10596,8376,8542,11202,27737
3531,10736,8710,10090,10189,26810
3743,11146,7754,10424,10902,27674
3484,10612,8109,8609,10692,27126
3573,10379,7929,10406,10744,27412
3699,10465,8641,10087,10933,27766
3568,10948,7669,9824,10899,27848
3782,11048,8531,9685,10931,27512
3760,11166,8471,10493,11537,27883
3621,10591,8684,9278,10347,26623
3546,10282,7885,10045,11329,27957
3811,10543,7756,9021,10747,27509
3672,11283,8128,10397,10884,27815
3708,10804,8740,10052,10606,27848
3984,10886,8014,9375,10687,27736
3759,10624,8671,9853,11020,27609
3756,10712,7679,9524,10631,27484
3925,10959,8599,8561,10479,27325
3767,11106,8881,10324,11166,27727
3974,10581,8115,9305,10732,27361
3797,11649,8443,9767,10179,27017
3970,10876,8327,9415,10446,39689
3635,11119,8330,10210,10638,28077
3802,11406,8921,9191,10638,27495
3662,11500,8138,8892,10485,27133
3405,10817,7872,8746,10442,27201
3731,10488,7932,9643,10033,26312
