ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
8493059,234612695,20497587,71912584,209872693,282673346
8711235,224646738,22715842,72760005,211014209,275810740
8386088,216913393,20422249,70424188,207662734,274909933
8604672,222239191,21533445,73922122,212935444,280230895
8413107,217170156,20529016,71068186,208433984,273958263
8431362,216709634,20372868,71114964,213147487,304941512
10000129,244762642,20419261,70989755,238662283,318483874
10253680,251569479,24293870,82757605,243943858,328772674
9780912,256357732,23212956,84381982,243768975,319920386
9349144,250179599,24365072,84487569,235247046,282773749
8707453,221726537,22639373,73767460,210715553,279054047
8388890,214578793,20371456,72981666,210763612,282999045
8792614,220794405,23029353,74701823,225799883,288245295
8419166,219025955,22431743,72570216,209576509,276293592
8623277,217673933,22101217,75081057,213562964,283808612
8510572,222693331,20471626,71608416,209991108,277418207
8534926,215575563,21407143,71099527,208626750,281269866
8708480,221600752,22945538,73758485,211385074,273911327
8385990,217192082,20671781,72527097,209392964,277209030
8444305,218442566,22569368,72906395,213965389,281749190
8543816,218421527,20433658,71925389,207853712,276714262
8464132,216426298,20397256,72077739,213106134,282554774
8718113,220419294,22024390,72572234,208876555,277633015
8419320,218091445,20421777,71461064,209568578,283041210
8852211,232681419,23274153,76454673,213296294,293419925
8592490,217866531,25414007,82083757,245297610,303584263
9799495,263381681,25617370,84556613,241226965,314932731
10209027,256808313,24174480,70456826,227598431,318868177
9740434,255939084,24286319,86960524,225074952,322226488
10304368,250891876,24678612,82531106,244311626,291544221
8376836,218957086,21517467,73067791,212728129,289723837
8771809,220193458,20368583,70730782,207978669,274201658
9584024,251447438,23292869,84104133,250726963,304867720
9129087,230447958,23308227,74381524,212509505,277339020
8412733,222481593,20849585,72894256,210465522,280271374
8396163,219390348,21172009,72526488,212082087,276167153
8543163,221153267,22462887,73746674,210211816,281630440
8385207,219528012,21443059,73631771,211740417,280035655
8529414,215387053,20392187,70363559,208217690,276425753
8532117,216263195,20735886,71372907,210597927,279901313
8653176,220275820,21328988,73145293,215913054,319432304
9385859,252189805,24733058,82468925,242461867,323521372
9571840,255781953,23966827,85493867,243652822,322969661
9440397,250313019,23250660,84687915,246765270,328190085
10193301,256090925,25082362,83092571,248711470,323918453
9407518,249724740,23403387,82203756,241720537,321697970
9581910,253844969,24891405,85991602,243438508,318342691
9367617,259268148,25808364,87758537,242731792,320456829
10433169,259764365,26000569,87051470,243748533,320380358
10577802,245471218,20512464,70815783,208694501,276288785
8625239,220116790,21425737,72161792,212396624,277958377
8444406,217753630,20644921,72270498,209570096,277801675
8378449,217559491,20408991,72360338,213221096,291457391
8668474,218878936,20475381,71761039,219064992,292466029
8491107,219173403,21330855,71886924,210557741,302466257
9363830,231831524,23183753,76384044,214625692,280557346
9158181,223352324,20740029,76304968,221321216,299030071
9258377,237302254,23356420,81576624,228315382,287638767
8504538,216705094,20390599,71822072,210193077,285651793
8409133,222197715,23097966,79201007,218178547,287412075
9377224,219089100,22310454,71358695,210589166,275866716
8408703,215569251,20599503,72755187,216339651,290527217
9434616,239108260,22417540,72713288,208360169,274845352
8477995,228751912,20382582,71808355,207784429,302506834
9771418,251228553,23808971,79618844,217377319,291281406
9171588,235110401,22077462,79720562,226252505,299506451
9256008,233867859,22992648,81013027,228607141,307726579
9121841,235274783,22297273,79159336,227045546,299815383
9200709,250207471,24719209,85174681,245321180,286855337
9136321,235319602,26131051,83250732,218215448,286942654
9151250,231304087,20408181,70995324,234162544,306302308
8700869,246230294,22541514,77763919,227957902,299076222
9313473,236296217,22327854,77894263,226885166,319906146
10185799,255743814,24921409,85962943,227135164,294179558
9222129,236579188,23200609,78700418,213382856,282866800
8625095,224208832,21559935,72971746,214197202,275396128
8381098,215139343,20369419,71093733,209363266,274267579
8447165,218415676,21791736,72820960,213300107,283262776
8427689,216368857,20383455,71184722,207584478,274705092
8507209,215670717,20380951,70497629,209839351,282586859
8706368,220952244,23370046,72798896,208185943,275376698
8404823,216660234,20411354,70271154,209331489,276980378
8668510,221209949,22816719,74161154,213903029,280525466
8383181,214747858,20369090,71166998,208229628,274712284
8508733,215602976,21175520,73257072,213259659,282868388
8585929,218606282,20347939,70821834,207915133,275048994
8572183,225098788,20822154,73127662,213622025,288859804
8706163,222220810,22471602,73999794,218918878,287722755
8388168,216901109,20325923,73411981,207948398,275146657
8704432,222097272,22917685,74749171,214008041,317207393
8382372,214837852,20355498,72053324,208347837,275192322
8375540,215572242,20391963,71599991,213541813,283037872
8720392,218776519,20486883,71809392,208519237,274595630
8434454,217953487,20367953,70718710,208016925,280835682
8816500,220816046,22402602,72728016,210802333,274584253
8385417,215560404,20443585,72421374,213538069,278838571
8459362,221269426,21445488,73702392,213833898,280657727
8447471,217146115,20348854,71839012,208010546,274878051
8380592,214517151,21185942,72067807,211669988,281867104
8653605,218930940,20381252,71894335,208835039,274173668
8500582,217121837,20361366,72802258,208220708,278238433
8660848,219926038,21657216,72346747,212829458,275311312
8385573,215717166,20375423,71455389,207781759,274621186
8390686,217692241,21882284,72668208,214218360,282419344
8385671,214949353,20584054,71316386,209002910,275120766
8409622,216260159,20358957,71701759,209816361,282428865
8746927,222801511,22816356,72739839,207883389,274588756
8378956,216255076,20492184,71145698,208813566,276398242
8623104,223243221,22389848,76083422,213629081,276854764
8511076,216693529,20600980,71988733,208359688,274423290
8384892,216191554,21678037,73801696,213234539,282640714
8707155,217461682,20582349,72456855,208129538,274899665
8508120,216304247,20349694,71365849,207979648,282524502
8817438,221226343,22882868,74301226,209977663,275935657
8385987,216406514,20383458,70871584,209555087,275493183
8778832,219592676,21713849,72472632,213378260,279691402
8416294,217108240,20405770,72609601,208644757,274665701
8396210,216727580,20503606,71084195,215881079,282446372
8576750,220407914,20370774,70403710,208745045,274170492
8384281,217193153,20426204,72707590,208241917,279333816
8484325,220218743,22798269,74404798,211987042,275332863
8424359,217322927,20371182,72011078,209264286,275919260
8385031,219275628,22452060,73466295,213642045,282933341
8400592,215020305,20840412,72776286,207891849,274900539
8375024,215211816,20374442,72240946,211039307,282695039
8706878,223716126,22664233,72917537,207972447,274316146
8389945,216354092,20545467,70336565,208699236,276517632
8641328,221616142,22619273,72780086,214315171,276482607
8383830,215157660,20348947,70699325,208279434,275210230
8394641,217364520,21498492,73863760,213908734,283051964
8760594,216020378,20393687,72047632,208323280,274901643
8473444,217139622,20684027,71077478,208389685,282910437
8680779,221908949,22795886,73719245,208946673,274623686
8464757,214638534,20664379,71467551,209249428,274791264
8613490,224462718,22490367,74083878,214066014,279047113
8387232,221888877,22716974,73578117,209248322,275802858
8383659,216084716,21542809,71549849,213546014,283221848
8705174,218552717,20523403,70569415,208297952,274553639
8656697,214752047,20438252,72057422,208438115,280972527
8736899,222370132,22800956,73786123,211240645,275508049
8452444,216594312,20381511,73168277,208037339,275195141
8400976,219211593,23119163,73666938,214289811,282529593
8386982,216257304,20401053,71279290,208724128,274333018
8472882,214888267,21149448,71011478,211554105,283245252
9337038,234041352,20699698,72792494,210013169,274806512
8401082,218939349,22539852,70807525,208834439,279147919
8670367,221439342,22134259,72732962,213294274,275325717
8384887,216391875,20350243,71322925,207688584,274388101
8389726,216235501,21542077,74758377,214132918,283068864
8437642,216263865,20716238,71748639,209061143,274093775
8386868,214240273,20877094,72241001,210137350,283089468
8575928,221346016,22736516,72661132,208047169,274837718
8439900,216016075,20593507,70695307,208394424,275096438
8479436,222578891,22688701,73104029,213835434,277652333
8414270,218258210,20900934,71429145,207801334,274563840
8378621,215946498,20999094,73008195,213455681,282447377
8591241,216657303,20386104,73491301,209202521,286906902
8435124,214649492,20563280,73653608,208932419,282274676
8566036,221104884,22040137,71991351,209556823,275273425
8474634,215741264,21345601,72037474,208296854,275404532
8499993,220449900,22571053,73279621,212880142,279682769
8562350,216255916,20388916,73281886,208040804,274057235
8472633,216299656,20412460,73042625,212783043,282027765
8518382,218514380,20477973,71179125,207823788,275311340
8424212,214974811,20423620,72066718,208787579,278857042
8792992,223010303,22937829,72481104,214962139,280824314
8383599,218945247,20335926,70556193,208591802,283682309
8766442,221264297,22516598,72874796,214700860,281346935
8409675,219407685,20430110,72877206,209601404,274930048
8386187,219370470,20524464,70915022,211536820,282910446
8691293,220704189,20531835,73439977,209603195,275504209
8529991,217110008,20418959,71332837,208206715,277188138
8643466,220387593,22679993,76432410,213841186,275104410
8408745,214461203,20532153,70836909,208679829,276672675
8394043,219508209,22063385,73519637,213748388,282195890
8453277,215942719,20416223,71719962,207936988,274103684
8386557,215322751,20533639,71193030,210739370,282164633
8566167,223652132,21884365,74256947,208562812,274680166
8496922,217312241,20476187,71467604,207896654,274610381
8561435,220457927,22647381,73630821,214206036,278260558
8381888,215329283,20431571,72481773,208618204,275324828
8388515,214296257,20359171,71953481,212881153,282432912
8651429,218579985,21670189,71127629,208002607,274373037
8379765,215974223,20337596,71131704,208120489,281175224
8721928,221835985,22374743,75376575,211523837,274422256
8452413,215432888,20474573,71095760,208167949,274489403
8376675,219285859,22599434,73606599,213570219,280716861
8401370,217768092,20493381,70735995,208447250,274260517
8378342,215619259,20606654,71508105,212272209,282023478
8658515,220278319,20387395,71968652,207875783,274406055
8517784,213486447,20461104,73225601,208199869,277692089
8653450,225121216,24261180,78358904,216943647,274892126
8378959,215180232,20370955,71815758,207729825,274651675
8384328,217776760,22544278,73078077,214044507,283135811
8470368,217614085,20434873,71408914,208560890,273884911
8388875,218000693,20376254,70187591,210210567,283081664
8580765,222628121,22709472,72932064,208680859,274768928
8389004,216895712,20374815,70723397,208454714,275922950
8545570,219835301,23006055,72636618,213822923,276954510
8460127,216437448,20387282,70880156,208426810,274310951
8372591,217899931,21538449,73491650,213765204,283331289
8806085,216571670,22355701,70855087,207848247,274384309
8381044,214962704,20359225,70226657,208423905,281690542
8644804,221318587,22614884,73190040,210040053,274939534
8410129,215267470,20449491,70702461,207861549,274763507
8478405,222958958,21653993,72992689,213970374,281538550
8435768,215285274,20345588,71537479,208016429,274033456
