ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
2384749,2384749,4281885,715363,1818759,1926470,2459234
771406,771406,1919735,629328,1535368,2014359,2358290
745924,745924,1888228,631232,1491284,1793878,2142846
673073,673073,1957855,627243,1471400,1754477,2171577
672086,672086,1931270,636281,1449838,1774727,2134012
670450,670450,1914486,635088,1537537,1787101,2113768
671930,671930,1906285,657457,1447869,1837051,2104973
727974,727974,1892518,630654,1500687,1754632,2127225
672100,672100,1925535,664434,1475310,1756636,2161966
671799,671799,1936703,629554,1537309,1752897,2374808
735021,735021,2076790,679994,1584748,1895362,2311486
730918,730918,2068998,680512,1583161,2173628,2766885
1080856,1080856,2059389,682187,1572128,1911007,2290522
746361,746361,2027354,686872,1565129,1897782,2280294
737510,737510,2046155,685473,1549016,1894597,2289858
759221,759221,2050338,705804,1544661,1905718,2277726
733756,733756,2043510,689005,1579674,1921223,2464247
819179,819179,2188401,756861,2085191,2294484,2697646
1087081,1087081,2374958,906891,2083091,2205682,2821376
933128,933128,2460381,808635,2085024,2247102,2783663
963591,963591,2377153,867879,2058178,2284332,2522579
781113,781113,2412615,849930,2054076,2247588,2816090
934129,934129,2373821,814632,1994498,2291341,2781414
1006112,1006112,2455790,831293,1978425,2252208,2567161
804534,804534,2147562,936114,1708675,1897823,2290428
684334,684334,1891949,661907,1464570,1748186,2144545
701410,701410,1936910,681494,1552541,1901379,2357905
730019,730019,1949318,626242,1496837,1756134,2166812
672043,672043,1925895,628575,1491851,1847595,2207647
672088,672088,1938427,629272,1456559,1803898,2146638
671114,671114,1939626,625344,1459431,1784679,2119976
672038,672038,1893159,657460,1512429,1774594,2104849
699226,699226,1895516,627758,1481537,2162884,2857964
857394,857394,2064006,628531,1435809,1787916,2115328
671685,671685,2062391,662218,1444758,1819011,2111407
708690,708690,1897999,663367,1493446,1750139,2142440
672227,672227,1954047,709397,1609510,1885650,2286796
727365,727365,1911969,627064,1475229,1751691,2152690
672158,672158,1913876,625716,1473142,1748795,2141586
671139,671139,1905238,624678,1450597,1779577,2111404
