ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
22101,22101,38645,32580,31663,37892,76557
20182,20182,35431,26381,29598,30892,57558
20612,20612,34895,27213,29975,30941,57753
21154,21154,36510,28722,33528,32264,59111
21364,21364,34329,26220,32675,32580,58050
22046,22046,33949,27489,33332,32610,58841
20738,20738,34696,26015,28736,33136,57403
20883,20883,33362,57728,32931,32650,59443
20668,20668,35667,29037,30520,32190,58084
20798,20798,33513,26882,27754,32505,58044
21680,21680,35301,26331,31247,32209,57929
21635,21635,32350,23910,28155,33913,59848
20863,20863,34580,27949,31187,32304,58269
20984,20984,33477,26842,28201,31403,57633
20873,20873,34920,26090,28927,32550,58074
20823,20823,34119,25684,29824,32019,58265
20573,20573,35362,28777,29503,31583,57738
20898,20898,33428,26461,33577,31628,58034
19335,19335,35321,26712,28581,30249,56896
20287,20287,32611,24903,27599,31628,57538
15941,15941,12602,9648,11408,11162,20713
7430,7430,12782,10165,10969,11631,21060
7923,7923,12207,9806,10701,11850,21407
7201,7201,12159,9467,10178,11235,20652
7701,7701,12054,9120,11371,11589,21271
7477,7477,12357,10455,12746,11202,20969
7871,7871,12560,10109,10568,11813,21650
7996,7996,12168,9104,11399,12123,21616
7532,7532,12576,9637,10643,11510,21242
7235,7235,11752,9356,12354,11101,20650
7924,7924,12437,10123,10788,12100,21280
8086,8086,12212,11482,14126,16026,28760
10557,10557,15618,12667,15217,15589,29863
9743,9743,14820,11869,14162,15018,29056
10344,10344,15929,12458,16073,16229,29268
10940,10940,16343,12496,14492,15816,29824
9963,9963,12450,9831,13057,12235,30355
6311,6311,10396,8328,8582,9563,17418
6258,6258,10335,7893,8875,9525,17303
5894,5894,9856,7543,8302,20037,20764
16756,16756,10473,8316,8493,20437,20484
6271,6271,10005,7759,8453,9660,29710
6153,6153,10734,8288,9625,9413,28609
16831,16831,10534,8359,9115,10004,28436
6837,6837,20334,8204,8823,9755,28495
6747,6747,10993,8999,9199,10581,18822
6430,6430,11152,8995,9987,10015,18560
6528,6528,12138,7883,9772,10228,18614
6404,6404,10947,8676,9447,11667,18627
6742,6742,10642,8961,9309,10336,20635
6870,6870,11052,8969,9976,10452,18838
6829,6829,10902,7920,9456,9968,18212
6759,6759,11179,8743,8816,10206,18865
6619,6619,10695,8332,8556,9902,18489
6614,6614,10976,8540,10225,10366,18765
6915,6915,10999,8300,9478,10598,18662
6110,6110,11083,8448,9213,9658,18343
6488,6488,10836,8701,10034,10127,18567
6603,6603,10978,8681,10012,9989,18607
7101,7101,10647,7946,10153,10617,19170
6526,6526,10468,8409,9287,10149,18438
6652,6652,10988,9321,10713,10342,18699
6872,6872,10501,8475,8903,10497,18826
6841,6841,10937,8894,10740,10400,18670
6860,6860,10666,7985,9126,10567,18893
6699,6699,10478,8322,10045,10313,18765
7004,7004,11037,8655,9175,10677,18935
6653,6653,11325,9451,10409,9992,18618
6705,6705,10744,8544,8887,10283,18471
6714,6714,11210,8970,9686,10644,18967
6456,6456,10971,8764,10439,9607,18136
6767,6767,10597,8512,8787,10395,18831
7079,7079,10426,7683,10465,10775,19153
7106,7106,10592,8270,10486,10754,19027
6856,6856,11374,8957,9415,10214,18779
6568,6568,11155,8790,9376,10641,19787
6963,6963,11740,8883,12101,10817,20270
6783,6783,12106,8754,10145,11465,21493
6878,6878,12376,9379,10049,11857,22467
7113,7113,11907,9121,11226,11667,22096
6780,6780,12022,9146,10033,11187,20332
7187,7187,11389,8722,10383,11796,23183
7563,7563,11550,9860,11941,11482,22550
8468,8468,13004,10733,11246,13235,23472
7916,7916,13388,10414,12508,12814,23852
8543,8543,13071,10426,13865,12954,23901
8453,8453,12522,10003,13813,13780,24913
8748,8748,12675,10159,11681,13027,23945
8345,8345,13180,10692,12418,12940,23988
8369,8369,12838,10613,11746,13134,29276
8097,8097,12674,9961,38901,35423,23007
9043,9043,12462,10224,12107,13482,24661
8013,8013,12589,10340,13608,12256,22983
8086,8086,12742,10190,12430,12937,23256
8291,8291,12741,10411,12629,12640,23597
8551,8551,12401,9940,12575,13047,22489
7799,7799,11748,10175,12828,13645,24584
8771,8771,13412,10921,12723,13940,24707
8653,8653,12691,10606,11908,13149,23795
8483,8483,12654,10149,11290,13119,24241
8708,8708,12726,10213,11939,13373,24538
7896,7896,12408,9704,11412,12682,23484
7804,7804,12974,10579,11689,12467,23475
8323,8323,13068,10121,11910,12936,23924
8111,8111,12974,9875,11688,12716,23950
8685,8685,12323,10095,12165,13271,24437
8017,8017,12656,9748,13134,12760,23562
8289,8289,12550,10022,13373,12577,23403
8409,8409,13101,10798,11999,12782,23229
9027,9027,12540,10297,11595,13503,24511
8666,8666,13052,10640,14187,13416,24373
8710,8710,12386,9892,11648,12549,22811
7646,7646,12212,10320,13986,13839,25139
8498,8498,24264,11626,13604,14079,26247
8736,8736,13581,10899,12157,13645,24859
8238,8238,12487,9384,12386,12586,25098
18599,18599,12566,10309,9700,10891,19763
13957,13957,13326,9239,9712,11072,19303
6385,6385,10072,7471,8888,9929,17685
6173,6173,9577,7400,9563,9365,17233
6575,6575,10020,8126,9645,9946,17688
6118,6118,10305,8366,9856,9425,17402
6223,6223,10609,8332,9282,45953,31007
6177,6177,10333,8251,8719,9601,17486
5812,5812,10304,8379,9652,9140,16972
6289,6289,10121,8234,8015,9618,17352
6097,6097,10003,8291,8773,9550,17280
6412,6412,10092,7580,8031,9855,18006
5901,5901,9620,28011,9547,10287,18647
6762,6762,10760,8469,9759,11158,19209
6925,6925,11511,9147,11925,10885,19491
7449,7449,10513,7877,10210,10660,30853
6180,6180,10110,7784,8792,9461,16974
6301,6301,9737,8001,8222,9835,17225
6233,6233,9631,7772,8647,9590,17234
6119,6119,10113,7557,8426,9407,16924
6187,6187,9806,7828,8253,9193,16982
6053,6053,9860,7977,9387,9249,16781
6089,6089,10199,8122,8369,9305,17316
6011,6011,10160,8178,9024,8972,16735
6077,6077,10503,7592,8745,9528,17197
6354,6354,10060,21705,10482,22317,17554
6343,6343,9675,7472,8149,9413,17356
6396,6396,10114,8319,9157,9770,17465
5918,5918,9673,7243,9351,8978,16865
5792,5792,10105,7897,7956,9431,16936
6565,6565,9933,8078,8703,10123,17955
6416,6416,10498,7857,8931,9566,17492
6210,6210,9950,7889,8723,9350,17340
6243,6243,10171,7737,8910,9392,17169
6068,6068,10022,7720,8337,9167,17124
6141,6141,10040,7818,8914,9292,17109
6292,6292,10335,7946,8426,9592,17557
5994,5994,10720,7370,8565,9270,17129
6099,6099,10639,8142,9039,9155,17060
6133,6133,9842,7905,9990,9205,17296
6362,6362,9982,8099,8126,9732,17536
6244,6244,10517,7863,8269,9368,17138
5942,5942,9677,7534,8789,9420,16947
6082,6082,9988,8038,8615,9576,17241
6182,6182,10435,8159,9288,9484,17253
6287,6287,10017,8002,8196,9653,17468
6109,6109,9705,7381,7780,9498,17136
6377,6377,9831,7814,8047,9628,17316
6071,6071,10181,26555,10892,28677,17693
6185,6185,10259,7928,8136,9391,17228
6135,6135,10258,7785,8545,9566,17163
6176,6176,9922,7925,8657,9707,17408
6087,6087,10329,8125,8147,9798,17310
6203,6203,10375,8027,10083,9372,17082
6003,6003,9906,7223,9435,9533,17171
6111,6111,10643,8770,9477,9072,16912
6037,6037,10300,8093,9020,9141,16978
6053,6053,9759,7555,8721,9481,17002
6334,6334,10127,7604,9055,9648,17562
6141,6141,10522,7899,8752,9647,17337
6465,6465,10562,8221,8894,9874,17797
6179,6179,10396,8188,8712,9760,17181
6224,6224,9887,8241,8376,9605,17508
6298,6298,9660,7212,8253,9824,17510
6553,6553,10319,7882,8216,9752,17497
6666,6666,10151,7963,8356,10087,17640
6285,6285,9644,7779,8540,9642,17413
6404,6404,10057,7623,8935,9871,17611
5939,5939,10270,7912,8762,9211,16945
6202,6202,10152,8120,9185,9916,17607
6307,6307,10069,7946,8270,9984,17630
6167,6167,9791,7725,8932,9329,16839
6496,6496,9883,7528,9479,9738,17368
6207,6207,9880,7763,9729,9893,17460
6169,6169,9961,8012,8295,9529,17017
6121,6121,9879,8043,8616,9102,17053
6410,6410,10047,7456,8258,9844,17703
6313,6313,9986,7476,8570,9580,17321
16936,16936,11163,8996,9175,10302,18514
8707,8707,12600,8845,10142,10486,19297
6604,6604,10847,8482,9494,10142,18375
6491,6491,11236,8464,10245,11059,22232
6933,6933,10935,8480,10105,11851,22333
6979,6979,10687,9343,12461,10659,19174
8916,8916,11821,8537,9383,10244,21153
6893,6893,11144,8649,9671,10775,18964
6681,6681,10768,8254,9128,11955,20810
6614,6614,11078,8531,13457,9787,17940
6912,6912,12083,8127,9284,10224,18404
6433,6433,11041,8531,8727,9462,38105
6947,6947,10438,8376,9510,10662,19602
6570,6570,11015,9330,11995,10211,19611
7018,7018,11755,9737,11810,11116,20391
6655,6655,10974,8624,9349,10373,19153
9731,9731,12704,10249,13775,15364,25334
6521,6521,11626,9205,10848,10366,18954
6957,6957,10591,8118,10038,10374,19561
6759,6759,11748,8844,10195,10655,19300
7240,7240,11003,8871,10908,10780,19839
6864,6864,11368,8731,10720,10088,18965
7102,7102,11554,9145,9337,10530,20673
6976,6976,10749,7872,9943,10987,19515
6074,6074,10329,7536,8640,9311,17971
6145,6145,10008,8311,8864,9728,17665
6112,6112,10110,7874,9486,9264,17534
5837,5837,10215,8229,10197,9302,17146
6026,6026,10108,8070,8289,9468,17358
6406,6406,10453,8280,8762,9950,17720
6250,6250,10512,8549,8271,9647,17443
5747,5747,10912,8878,8753,9186,16833
6323,6323,9991,7633,8939,9826,17455
6806,6806,10709,8464,9499,10444,18594
6221,6221,10134,7680,8538,9604,17692
6446,6446,9939,7842,8760,9653,17932
6444,6444,10258,7654,9591,9943,18118
6049,6049,10094,7744,9472,9497,17604
6236,6236,9609,7783,8829,9466,17324
6016,6016,10158,8300,9504,9475,17510
6162,6162,9765,7248,8220,9431,17131
6322,6322,10234,7621,9141,9729,17399
6044,6044,10467,8556,8387,47063,32783
6452,6452,10007,7826,8654,10101,17922
6559,6559,9799,7957,8852,10002,17996
6294,6294,9953,7738,8704,9445,17447
5954,5954,10121,8115,8999,9247,16846
6238,6238,10145,8200,9267,9582,17482
5939,5939,9575,7475,9143,9252,16816
6110,6110,10230,7797,8964,9278,17164
5744,5744,10173,7888,27894,17123,27089
6411,6411,10386,8093,9347,9471,17513
6039,6039,9843,8109,8742,9117,16936
6116,6116,10135,7385,8856,9390,17174
6443,6443,9606,7997,9073,9648,17356
6105,6105,9440,7260,9775,9252,17111
6121,6121,9781,7791,8438,9563,17496
6015,6015,10384,7993,9848,9328,17139
6058,6058,9962,7616,9358,9370,17247
6176,6176,9865,7927,9582,9601,17317
6290,6290,9629,7836,9156,9551,17652
6332,6332,10354,8451,9195,9661,17224
6314,6314,9604,7789,8809,9557,17157
6509,6509,9875,7819,9167,9979,17547
6226,6226,10267,7856,8934,9673,17660
6120,6120,10767,8639,8656,9397,17234
6144,6144,10047,7562,8615,9517,17445
6240,6240,9717,7699,8120,9530,17303
6254,6254,10423,7890,9850,9521,17337
6346,6346,9967,8222,9551,9685,17600
6454,6454,10407,8220,9510,9973,17601
6090,6090,10222,7693,8370,9506,17322
6478,6478,10005,7855,8143,9676,17474
5828,5828,10410,8492,8884,9214,16978
6032,6032,9997,7992,9939,9271,16781
5940,5940,10260,8043,8844,9194,16889
5960,5960,10086,8143,9619,9320,16866
6413,6413,10363,8436,9421,9596,17578
6320,6320,10355,8691,9225,9792,17379
6271,6271,10522,8308,9120,9557,17278
6261,6261,9644,7925,8971,9558,17358
6321,6321,10329,8122,9065,9752,17652
6325,6325,9704,7758,10719,9921,17479
5966,5966,10277,7698,8123,9403,16867
6350,6350,9858,7436,8508,9663,17352
6126,6126,9785,8179,9084,9337,17186
6412,6412,10289,8276,8518,9680,17662
6301,6301,10078,8241,8070,9450,17533
5958,5958,9906,7638,9005,9484,17142
6254,6254,10177,7834,8840,9787,17400
5880,5880,9725,7912,9111,8893,16669
6463,6463,10099,7939,8000,9852,17521
5963,5963,10136,7485,8948,9282,16969
6128,6128,26334,9785,9394,10192,27645
6370,6370,10033,8060,8647,9552,17285
6219,6219,9857,7933,8884,9650,17490
5854,5854,10188,7744,8868,9105,16854
6078,6078,9984,7956,8720,9611,17063
5997,5997,10615,8043,8561,9224,17036
6336,6336,9756,7615,9014,9599,17402
6345,6345,10010,8048,9263,9569,17567
5785,5785,9954,7945,8708,8712,16431
6573,6573,10296,7998,8960,9842,17491
6055,6055,10097,7956,9811,9220,17090
6353,6353,9694,18788,9595,10384,18523
6848,6848,10804,7561,8977,9690,17371
6152,6152,9332,7199,9483,9326,17161
6411,6411,10335,8223,10438,9835,17506
6213,6213,10008,7912,7985,9676,17289
6162,6162,10168,8244,8554,9411,17264
6100,6100,10572,7975,9168,9806,17239
6309,6309,9861,7421,8924,9815,17480
6310,6310,9795,7910,9285,9725,17755
6091,6091,10651,8779,9368,9310,17211
5954,5954,10637,8023,9298,9311,17083
6357,6357,10321,7940,8888,9847,17439
5929,5929,10062,8109,8638,9103,17012
6102,6102,9601,7547,7897,9487,17246
5861,5861,9871,7619,8738,8978,16898
6172,6172,10452,7862,9224,9383,16808
5907,5907,10109,8142,8775,9150,16880
6413,6413,10636,8460,8678,9797,17647
5937,5937,9910,8129,8405,9116,16849
5980,5980,10092,7655,9165,8914,16804
6310,6310,10056,8206,9946,9496,17340
6333,6333,9888,7964,9074,9685,17461
6128,6128,10207,7834,8553,9542,17295
6211,6211,10050,7522,9042,9415,17028
6173,6173,10008,7816,8592,9345,17183
6430,6430,9964,7718,9380,9843,17697
6400,6400,9568,8092,8804,9705,17646
5956,5956,9885,7890,9149,9268,16911
5875,5875,9761,7553,8403,9332,16999
6185,6185,10142,7992,8626,9281,17278
6064,6064,9871,7659,10778,9379,17280
5964,5964,10376,8198,9053,9261,17094
12441,12441,21716,7610,8958,9617,17789
6369,6369,9940,7577,8872,9495,17446
5627,5627,11006,8798,9300,8722,16543
6204,6204,10018,8237,8685,9294,17243
6340,6340,9805,7242,8935,9758,17402
6241,6241,10009,7556,8396,9447,17348
6268,6268,10118,8300,8281,9690,17465
6286,6286,10318,8065,8353,9607,27716
