ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
8535993,8535993,24499258,11210580,17372082,22564311,30592137
7689821,7689821,25538394,11875141,22134676,27151394,34643212
7594923,7594923,24434149,11073505,19319948,22622998,29399243
6836300,6836300,23880075,11263893,17744879,23170473,29509335
6930988,6930988,23914993,11057028,17526421,22239112,29170314
6965661,6965661,24228983,12253210,18498887,23667121,30801680
7299167,7299167,25087083,11520568,18409982,22997767,31192733
8742227,8742227,23885482,11013261,17355453,22969188,28818727
6871121,6871121,23575209,10974062,17375373,22230815,29035279
6857077,6857077,23721290,12426208,18964885,23184149,29070438
6876472,6876472,23671315,10946888,17337930,22142823,28899823
7414519,7414519,24499057,10997340,17388686,23279768,29053344
6873422,6873422,23456104,11024106,17240651,22192362,28848087
6849162,6849162,23600571,10988076,18032315,22348238,28815523
6944884,6944884,23651700,11032265,17370127,22124008,28739989
6841446,6841446,24140137,11045282,17617719,23172733,29069247
6885328,6885328,23721175,11051251,17161947,22133508,28873071
6875104,6875104,23665510,11000052,17134125,22156346,28823392
6828323,6828323,23630268,10975726,17561910,22419629,28931674
6881084,6881084,23591038,10971885,17877797,22876025,29276007
7302898,7302898,23742925,11153405,17277714,22221103,29239773
6849426,6849426,23932506,11626075,17513470,22228315,28776643
6937604,6937604,23657882,10957163,17171067,22353254,28896190
6865392,6865392,23526021,10994554,17296040,23537020,28965947
6865306,6865306,23634665,11071615,17288339,22176274,28811738
6825855,6825855,23645326,11065905,17419498,22108368,28714520
6874346,6874346,23726684,10984314,17336729,22319679,29005369
6949890,6949890,23773791,10992229,17337248,22818051,29563248
6919719,6919719,23533754,10967998,17564849,22387708,28783137
6840608,6840608,23626758,10983168,17277554,22224256,28895511
6877085,6877085,23679529,10978503,17371315,22226039,28722479
6839032,6839032,23519642,11070024,17229757,22864070,29042727
6938045,6938045,24060185,10999948,17355207,22123579,28784103
6967105,6967105,23411628,10970739,17135122,22116759,28817828
6861165,6861165,23558100,10966600,17282100,22085824,28821465
7010845,7010845,23488068,10990695,17726319,23748468,30639703
7247462,7247462,25295230,11426838,18827151,23218992,30969370
9335553,9335553,24555907,13798390,17947258,23370011,29688160
6925672,6925672,23658272,10963156,17404539,22140965,28888952
6844187,6844187,23618140,10970790,17254078,23069064,29022318
6861876,6861876,23488303,11035816,17870041,22451219,28935277
6846198,6846198,23583449,11015674,17572209,22193198,28780594
6850965,6850965,23343644,11041308,17163296,22112865,28758741
6928719,6928719,23358419,11064579,17425607,22278691,29772671
6953422,6953422,23657065,11008108,17227581,22334869,29404547
6866703,6866703,23564033,11181858,17312760,22381836,28837487
6845326,6845326,23764617,11052727,17452836,22169116,28892032
6833046,6833046,23567697,11062094,17372005,22128227,28809100
7101509,7101509,24203161,11059547,17520329,22298801,29224086
6886550,6886550,23578623,10964870,17241146,22272859,28835516
6829490,6829490,23478473,10990747,17293178,22151402,28713782
6897880,6897880,23624836,11021084,17378767,22150525,28796351
6857102,6857102,23626726,11362264,17966360,22277762,28798793
6880022,6880022,24280562,11075785,17270029,22129918,29228784
6967639,6967639,23945831,11089966,17474002,22230398,29040195
6871390,6871390,23758301,10988449,17352252,22292530,29080753
6914856,6914856,23617603,10978867,17519760,23167114,29100594
6892833,6892833,23728483,10971025,18033785,22100378,28740429
6912588,6912588,23542208,11063538,17177619,22115389,28789439
6864492,6864492,23576805,10983981,17287857,22181936,28757130
6843218,6843218,23608321,11186769,17575945,22292677,29775013
6935703,6935703,23503545,11005268,17188807,22611834,28834143
6848775,6848775,23629550,10976557,17299752,22181896,28878369
6843408,6843408,23538252,10991973,17419610,22192975,28792715
6943845,6943845,23593403,10997931,17193942,22139171,28747877
7198254,7198254,24383815,11005527,17596666,22146030,29360358
6868551,6868551,23584741,10995066,17316297,22276208,28816796
6864785,6864785,23655703,10996559,17344451,22177818,28751118
6844251,6844251,23516285,10973053,17548788,22143054,28825682
6867886,6867886,23881379,11871806,17363085,22150841,28974542
6864317,6864317,24604930,11010734,17327447,22213774,29507007
7026192,7026192,23790729,11141059,17456243,22394441,29066832
6913553,6913553,23707862,11081620,17417023,22403137,28943181
6983375,6983375,23865067,11111992,17828013,22834923,28945067
6856669,6856669,23459115,11038404,18057340,22049427,28739035
6856008,6856008,23768583,11087894,17214425,22163396,28787891
6829544,6829544,23678141,10978972,17286088,22140232,28771953
6842140,6842140,23994266,10978625,17304119,22435926,29677354
6874886,6874886,23504004,10981777,17131902,23014487,29908285
6848002,6848002,23626319,11029786,17162980,22199364,28765446
6853975,6853975,23594558,11012737,17208510,22073797,28793706
6835379,6835379,23506433,10972442,17195583,22116727,28871462
7154601,7154601,23734574,10982116,17309384,22111777,29775674
7376239,7376239,23437397,10959391,17386053,22107187,28753800
6830287,6830287,23420662,11012090,17308047,22138390,28798535
6868186,6868186,23696953,10993622,17244934,22159952,28727601
6956217,6956217,24839313,11054551,17606709,22080012,28699306
6826578,6826578,25248550,11287825,17194965,22433355,28890651
6841722,6841722,23665172,10984720,17107592,22122537,28741494
6864199,6864199,23493824,10977135,17299754,22147868,28727806
6852011,6852011,23519908,10998167,18118784,22261423,28783036
6827370,6827370,23639430,11303591,18582294,22320788,28791628
6826349,6826349,23700114,10964881,17159465,22076812,28747864
6914338,6914338,23303538,10979342,17312505,22080877,28742737
6823661,6823661,23524247,10975133,17247808,22474753,29551013
6862304,6862304,23536904,10985846,17164408,23322054,29464034
6846736,6846736,23742007,10978646,17312784,22133584,28748782
6832536,6832536,23687231,10978644,17360120,22063016,28699557
6842407,6842407,23710862,11003865,17218314,22077288,29598600
6891160,6891160,23729405,10965994,17383549,22227372,29236908
6839296,6839296,23831788,10982333,17446106,22241356,28750338
6849396,6849396,23728349,10995320,17303390,22123844,28696412
6832745,6832745,23428620,10993132,17255781,22154918,28838721
6893638,6893638,24623667,11120747,17272368,22176124,28836500
6995954,6995954,25488122,10968106,17163174,22422392,28890548
6829355,6829355,23506128,10961813,17233289,22069628,28752798
6866170,6866170,23641469,10955923,17222552,22110049,28703911
6834583,6834583,23536645,11112850,18144588,22306829,28932204
6885859,6885859,23523237,11551485,18626119,22181683,28723320
6840878,6840878,23698828,10947152,17283122,22090945,28681343
6827554,6827554,23693207,11010896,17346092,22062412,28769099
6828811,6828811,23659942,10975036,17686259,23014413,28974650
6856496,6856496,23485579,11053416,17364052,23663169,28997386
6843249,6843249,23808185,11072167,17410620,22239466,28905871
6934873,6934873,23519811,11024603,17357988,22166183,28844378
6911250,6911250,23607527,10988066,17358118,22230107,29709648
6948261,6948261,23547687,11023000,17217241,22181130,30531569
6913442,6913442,23542895,10965462,17246035,22176578,28774127
6840631,6840631,23577497,10968630,17431412,22102363,28732729
6873000,6873000,23503534,11073569,17131720,22139169,29152475
7047738,7047738,24217546,11127466,17404710,22286311,29194345
7458083,7458083,23672330,11082023,17291828,22512555,28974530
6908653,6908653,23641085,11007831,17288014,22360659,29019985
6850846,6850846,23643083,10948031,17179889,22256760,28757042
6835356,6835356,23580922,11743557,17612752,22351869,28839297
6874868,6874868,23698255,11081189,17289909,22140497,28883743
6963369,6963369,23489095,11133676,17293501,22122779,28800248
6866547,6866547,23462885,11030709,17205659,22165879,28789159
6901673,6901673,23739711,10974765,17263608,23087480,28962473
6887500,6887500,23493724,10985993,17377756,23761874,28759219
7250967,7250967,23827461,11028058,17435289,22245623,28743411
6842073,6842073,23784842,11052828,17233140,22171326,28749368
6881183,6881183,25055342,11187057,17208349,22157583,29805465
6894416,6894416,23538537,11026106,17199639,22302331,29642207
6839409,6839409,23595836,10999462,17327334,22296423,28762263
6874110,6874110,23482974,10995838,17274503,22215670,28783711
6842797,6842797,23465854,11033215,17316624,22358319,28938677
8904530,8904530,24097320,11060988,17266997,22117072,28826000
7423070,7423070,24006494,10963384,17791770,23177139,29587380
7059480,7059480,23490457,11084769,17423274,22317610,29614262
6841329,6841329,23661549,10978203,17572187,22412655,28958201
6855867,6855867,24313034,11198943,17441448,22172229,28775273
6941377,6941377,24471902,10954820,17229696,22673377,31939980
7668718,7668718,23778720,11084248,17336335,22160628,28840333
6864764,6864764,23461142,10976578,17137055,22206036,29090501
6886374,6886374,23601437,11063461,18167426,22305755,28877940
6982492,6982492,23684986,11240089,17921879,22296836,29827252
6910050,6910050,23834542,11039514,17493858,22103099,28973204
6842650,6842650,23575320,11002892,17529789,22086088,28936044
6856805,6856805,23433074,10978311,17149592,22806894,28917151
6846146,6846146,23615437,10968449,17325394,23358349,29540652
7096839,7096839,23606570,11049642,17252000,22196993,28823441
6844589,6844589,23600929,10965132,17192519,22179970,28908462
6884330,6884330,23680236,10963541,17499879,22101271,29843265
7017603,7017603,23664232,11029135,17216736,22122886,29207857
6866922,6866922,23815052,11231532,17317265,22359220,28761817
6871606,6871606,23441244,10975581,17513026,22104499,28865480
6896298,6896298,23537737,11004722,17214000,22139992,28938142
6943725,6943725,24448067,11089898,17424051,22200700,29195936
6924860,6924860,24076835,10990620,17397871,22217613,28903387
6846070,6846070,23534327,11001695,17219565,22297765,28797032
6842272,6842272,23465442,10954932,17221158,22149073,28950320
6881028,6881028,23501595,11325202,18009736,22212778,28764892
6849488,6849488,23569733,11530096,17863500,22179801,29157658
6871200,6871200,23601797,10989707,17318177,22067811,28833197
6872813,6872813,23550194,10991730,17226586,22102013,28919567
6842103,6842103,23509985,10969359,17327543,23088881,28922727
6859927,6859927,23506751,11055695,17431055,22675623,28752311
6857403,6857403,23474407,11064827,17134694,22111428,28742030
6832135,6832135,23727740,10947100,17303219,22143122,28966685
7019586,7019586,24372307,11111905,17817495,22261705,29973054
6874695,6874695,23686296,11007930,17277991,22248661,30384601
6848166,6848166,23466954,11251719,17593489,22293490,28795322
6879976,6879976,23429490,10999421,17374221,22138333,28718325
6839746,6839746,23524193,10964736,17247671,22086073,28787185
7090146,7090146,24009055,11038458,17245485,22103423,28999015
7323411,7323411,25400682,11823650,17799961,22266813,29008665
6885309,6885309,23620845,10982630,17280973,22232939,28714257
6840123,6840123,23412931,11023406,17225113,22215330,29024515
6919664,6919664,23735258,13230968,17303177,22135724,28758851
6890774,6890774,23807396,11834659,17383537,22117309,29546935
6902934,6902934,23684213,11036356,17415277,22364818,29085575
6873706,6873706,23757840,11053987,17332632,22354619,28997612
6988873,6988873,23685312,11139417,18106211,22469601,28904362
6895293,6895293,23614814,11109530,17978286,22672288,28762135
6868391,6868391,23415873,10966528,17177887,23162598,29725122
6880746,6880746,23281632,10968581,17304877,22070936,28747646
6815887,6815887,23737735,10970489,17180114,22581727,29604001
6920918,6920918,23489240,10998204,17151174,22401254,29895048
6910755,6910755,23851957,11158213,17236640,22166470,28732492
6851893,6851893,23658279,11071150,17150499,22132132,28720818
6829522,6829522,23610523,10971832,17184265,22130507,28911399
6859045,6859045,23704715,10993483,17156900,22119768,29042661
7414168,7414168,24439262,10976142,17244076,22165561,28751327
6827755,6827755,23500783,11006286,17176088,22126972,29051545
6871064,6871064,23628927,11120533,17337168,22142806,29443917
7004676,7004676,24524804,11105714,17220980,22142893,28697702
6915578,6915578,24628453,11295625,17188022,22515732,29472511
6901645,6901645,23713851,11026082,17361470,22314041,29060603
6977341,6977341,23848158,11079560,17461359,22366653,29011083
6887276,6887276,23802269,11251081,18464390,22521120,28774121
6839447,6839447,23636024,11022301,18525169,22862311,28740712
6833366,6833366,25053003,11861344,18065794,22133297,28789160
6829722,6829722,23562197,10965193,17294437,22117638,28879829
6824659,6824659,23530172,10987527,17415527,23269382,28950534
6879370,6879370,23452753,10976506,17339586,23235816,28895880
6851834,6851834,23692517,10980960,17402584,22144732,28744922
6831266,6831266,23690715,10955975,17179934,22088008,28695028
6872998,6872998,23608487,11012950,17291490,22079930,29609777
6961999,6961999,23539935,10993317,17313965,22204449,29949555
7243447,7243447,23551966,10989082,17174617,22136544,28702785
6909193,6909193,23489818,11007857,17226089,22084254,28705735
6821659,6821659,23664933,10941050,17382391,22261716,28880884
7093884,7093884,24419514,11077943,17429145,22080334,28780063
6851425,6851425,24695879,10975422,17208914,22575698,28774343
6848551,6848551,23753500,10994076,17243377,22097102,28734832
6873186,6873186,23633689,10975614,17287568,22223456,28717171
6839288,6839288,23514251,11469099,17366155,22234874,28813977
6840090,6840090,23864938,11297481,17507610,22105297,28786793
6933103,6933103,23638543,10993347,17199238,22322095,29079886
6846972,6846972,23618386,10967542,17408834,22127140,28850793
7123118,7123118,23531867,10993430,17520778,22925816,28940134
6885674,6885674,23704774,11051907,17363901,23267439,29664912
7080766,7080766,23835739,11052260,17297750,22101365,28764702
6877527,6877527,23631486,11007252,17358109,22157537,28701823
6838216,6838216,23364960,10966337,17215994,22250417,29852728
6926109,6926109,23516958,10990169,17399498,22210832,29880306
6844299,6844299,23356415,11103424,17456006,22180878,28779799
6846088,6846088,23596746,11014050,17666781,22118754,28720851
6870789,6870789,23552508,10988959,17149728,22192984,28844602
8718405,8718405,23654813,11047999,17208454,22125784,28812556
7141939,7141939,23999833,10981190,17299013,22537769,28818906
6864096,6864096,23599265,10986770,17311543,22220223,28847952
6844032,6844032,23536005,10960880,17301845,22276173,28755506
6865518,6865518,23528821,13499726,17408769,22230205,28691220
6852632,6852632,23769893,11810109,17224162,22186994,28757042
6851912,6851912,23526205,10975041,17240674,22194778,28847004
6871028,6871028,23609375,10992089,17201785,22183707,28758710
6977849,6977849,23490367,11046864,18287659,22541000,28854890
6865437,6865437,23602269,10989073,17168427,22802295,28820648
7226061,7226061,23682975,10994694,17162846,22197379,28755822
