ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
1387495,4100675,742562,1583511,2160191,2934012
483022,2054208,696978,1673233,2043099,2192756
431015,1842948,667797,1535466,1781729,2034704
390818,1864894,628875,1468452,1811724,2037204
390294,1904698,630033,1455255,1818563,1999247
393391,1845256,631147,1471091,1780559,2030403
391545,1890522,630523,1468883,1773037,2031154
388124,1874656,632641,1435555,1811323,2021677
389075,1849506,629110,1473193,1782736,2029848
387146,1871846,633875,1478332,1806258,2071234
396169,1968430,630479,1445277,1879716,2007033
393032,1854342,663574,1446533,1812004,1993715
392377,1889096,630288,1469697,1786659,2031446
389380,1909585,632223,1451676,1811240,2022269
390298,1848857,664665,1433857,1805892,2021927
390244,1860321,630162,1474872,1783958,2028388
391543,1887847,632342,1439745,1810860,2023438
402901,1846129,658218,1454560,1802372,2008513
423467,1848858,631956,1453261,1852201,2206058
427956,2015083,688803,1583374,1940442,2186941
429976,2016982,681758,1859813,1946024,2383588
436199,2202825,799182,1856764,1935039,2222238
424260,2022056,688385,1588672,1922283,2177453
427060,2014099,684537,1557590,1925232,2178907
429471,2011521,683153,1561985,1941779,2174379
420744,2015354,680448,1561036,1934230,2161447
425189,2007855,681573,1568184,2039954,2461766
497444,2275436,800415,1686768,2101955,2344780
464242,2112859,777073,1716093,2125176,2357715
479911,2126636,803317,1731045,2090232,2295716
495078,2155561,767412,1817986,2091530,2416262
488025,2170292,792211,1759328,2104950,2417887
461414,2161654,704950,1784053,2115561,2337655
529980,2184222,790916,1648481,1972681,2493244
423371,1995169,682140,1564696,1825687,2105703
427598,2011045,697007,1571026,1948067,2204568
438937,2121921,694540,1557505,1839051,2003661
393775,1878040,630848,1478881,1804513,2023344
391806,1883572,631054,1460405,1781217,2039471
390696,1878143,628702,1456739,1813065,2002610
390164,1841480,631813,1504024,1805185,2035851
391870,1977730,633408,1457643,1782919,2033282
388847,1897684,631124,1456012,1814942,2001758
404611,1859333,637968,1449167,1786857,1997753
392169,1863659,633972,1438562,1780501,2052047
386361,1898459,630759,1439457,1808961,2017773
397085,1861008,657237,1440935,1833150,2001010
390141,1886149,631862,1551246,1928351,2173783
428035,2009436,678852,1506890,1776411,2027641
392074,1994930,679194,1572467,1814816,2506782
731370,2468668,886091,1798846,1990079,2182530
421533,1928392,630948,1516840,1812040,2114338
393010,1871523,631054,1776037,1861635,2126126
391895,1862775,682511,1454411,1844804,1995337
429929,1866870,628868,1487705,1777068,2030698
391329,1884223,631982,1459437,1813463,2041383
389912,1877593,630179,1436996,1816154,2019447
