ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
33765,156042,73585,129790,150999,156308
29458,156150,67314,128729,163957,153780
29518,155668,67599,132066,148832,153115
29846,156689,68296,129528,147046,152558
30975,156596,68072,127847,149161,152827
29258,156736,67288,129058,148904,155406
30407,169036,68640,127832,150794,154279
29684,156161,68149,126472,147184,154735
29713,157158,67290,132330,150845,154097
29468,157842,69017,130247,148420,153845
29515,159982,69004,163800,150556,154836
30623,155837,67574,131643,148271,153619
29744,154280,68891,130080,151356,153750
30175,157515,67523,132690,154624,154304
29957,155111,69253,131418,161733,154015
29654,153455,65937,133889,150339,151829
29149,155581,66161,129477,147028,153567
29389,155950,66972,127778,148356,154882
30028,158270,67244,127200,150569,154190
29406,234088,67578,133964,148600,152811
29760,157876,67604,130399,149200,152726
33540,167102,77514,136054,151405,155052
30846,154575,67915,130479,149763,153623
30425,159047,83281,129264,149585,153241
30162,156853,68594,125855,149188,152489
29912,156209,67495,128295,150406,153238
29742,156761,66768,128420,152849,154773
30821,155402,67828,128683,168880,152121
29939,156641,67174,129243,149209,153703
29564,155281,67886,131841,149616,153855
29865,155808,67241,130662,160480,208238
38068,180949,89611,148205,175272,222728
36483,175098,84779,150380,170159,187312
35539,175406,78980,141708,199839,154295
30654,159221,68746,128624,149960,153722
29298,156361,66634,129057,156595,152700
29736,156141,67307,131918,148292,153411
29877,155627,67232,135470,149361,155159
31152,157102,68452,133423,150833,155920
29855,160045,67540,128090,149821,154723
29736,154675,67592,130385,148908,155381
29691,157252,66838,133103,150295,154209
29608,156272,68224,128475,150993,155620
30573,157886,68397,131099,151934,156563
31267,158245,80969,132725,147613,154517
29956,156708,69220,129214,150150,153468
30150,154690,68706,131140,151370,154872
30960,155382,69398,129589,150617,155660
29838,157301,70408,132565,161445,154707
29667,156823,68572,130139,148590,153750
30770,158113,68003,133165,150100,154676
29876,159384,68726,130841,152049,156061
30536,157642,68892,129218,148077,154131
31943,158164,68600,128918,150675,156631
29706,158145,68404,129098,149067,153754
29927,157123,66862,128327,163083,154351
29933,158609,69153,131464,149995,155035
30323,158404,77022,131071,147766,152078
