ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
22718,37181,30486,35031,38424,104667
21680,34845,27469,30441,32340,85999
21219,34996,27113,29262,32009,86209
21996,32876,26426,32200,33152,86981
21650,34841,28496,28967,31177,84466
21330,33703,24998,29578,32665,86665
21559,73023,29107,34815,43185,99635
21655,34189,27889,31212,33663,86731
20838,33908,25920,27232,37812,105619
21189,34891,26582,29859,32591,85002
21039,33047,26521,27764,31322,86214
21063,34028,27017,29087,29869,83653
21505,32405,26872,31097,32189,85823
21454,34274,27283,31162,32204,85914
20587,32780,25900,27935,34119,87277
20417,33362,26231,29358,32796,86259
20602,33988,26090,28882,31713,84595
20753,34004,26231,32756,49451,31742
7600,12011,9249,10777,11779,30842
7763,12049,9455,12221,11103,31039
7434,12106,9721,11817,11691,31518
7361,12809,9377,10341,11215,30799
7357,12707,10282,11211,11021,30349
7797,12314,9564,9648,11499,31119
7455,12073,9466,10659,11740,31278
7218,12368,9870,10782,12069,30271
6978,11883,8769,10881,11051,29492
7297,12068,9338,10705,11976,41282
15338,11886,9411,10338,12407,38744
9097,13954,11308,12590,15064,39998
8745,13915,11707,14113,14971,39956
8975,14432,12433,14793,15760,40451
9196,13876,11248,14797,14529,39651
9110,14513,11352,22992,13341,34624
7765,12362,9698,13254,12834,34458
7697,12310,10486,11794,12418,34424
7897,11629,8776,11265,13003,34669
7849,12256,9844,11814,13066,34437
7880,12459,9519,11768,12882,36353
7830,12066,9432,12555,12366,33988
7686,12282,9679,13897,13920,35211
7651,12575,10357,12112,12368,34320
7785,12282,9869,11957,12505,33683
7448,12448,9905,13806,12385,35297
7869,12960,10377,13447,12841,34922
8172,12595,9892,13303,13628,35551
8032,12549,9908,44749,23898,35358
9015,12240,10600,13036,12679,34999
7792,11942,9468,12082,12700,34823
7875,13697,10487,12104,14839,34599
8231,12578,9933,14417,13096,34643
7678,12895,10900,14171,13282,35126
8397,13221,9797,14032,13192,35400
8030,12441,10509,11532,13255,44525
7754,12762,10314,12789,13080,34482
7965,12079,9848,13545,12480,34053
7723,12729,10685,12138,13088,34595
7905,12692,10276,11749,12316,33951
7893,12219,9959,12084,12767,34464
7630,12209,9510,11565,12672,44813
9232,13256,10174,12350,13819,37299
8439,13510,10934,13432,13678,36963
8255,13018,10145,13510,13621,37185
