ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
168454,485817,254227,511287,594954,587988
226603,495354,214606,264637,173643,179710
56115,174359,76747,142976,179229,145121
44527,140889,61810,117826,138954,175136
51281,163214,68622,126970,152108,155993
49535,151992,67099,157131,154808,157295
48570,154382,66867,126642,151821,169213
50241,157111,67037,126561,153315,155914
49971,153388,68322,129065,151243,157071
67590,180486,103047,181748,214551,211776
72393,189504,90477,181237,207728,169435
48814,154515,68800,127533,154231,157651
48105,151837,66837,126508,153718,155579
50380,154841,68341,125956,153985,159537
53266,157404,68930,126741,155919,162453
51848,159464,67440,128517,153425,161202
52640,156795,68155,125361,157169,158805
67616,151909,79829,126948,167815,195894
68997,169370,81574,141857,154079,159405
52186,154904,69459,134237,159618,165367
49651,152693,67743,126585,155447,158338
45382,143241,62150,115864,143152,146157
45141,142392,60487,117353,140951,144910
45563,142190,71460,117325,141282,145550
44954,143194,62713,117650,139513,144849
45626,143204,61700,162237,178588,145619
44588,143400,61674,114266,141128,165108
44207,142215,61297,116673,139544,144626
44330,144133,62059,115582,142012,144993
45378,172490,75031,123766,161355,156902
48635,153028,67544,126857,151277,157079
48952,154174,68368,126933,151090,155650
49214,154991,67213,127516,152293,156246
48484,154956,66439,126576,151571,164348
68392,175562,67046,126043,154150,156486
48486,153832,66747,138658,140819,145547
45845,142029,74067,132028,141611,145743
45360,171114,66258,116951,141614,145137
44852,177685,62071,116429,140312,143722
45021,142680,62403,119472,140309,143800
44652,140776,62045,115814,140772,144972
46470,142758,62095,113096,141583,143632
44790,143673,61964,120035,169936,145689
44036,145285,62339,116657,142123,144597
44885,148362,62728,117388,141353,144999
43730,144075,62113,118368,140585,145138
45545,142778,62012,117933,140841,145727
63269,153897,62027,116086,141383,144325
46501,145260,62339,113940,164968,145531
45162,140567,61037,112887,142577,144634
45573,144833,62257,116565,141245,145315
45775,143255,61205,135550,153360,145482
46080,144051,61738,118572,142412,145077
44791,143504,61172,121450,137887,143102
44460,142026,60727,115579,138521,144777
44748,142079,62046,114365,142210,144253
58788,142126,61470,119122,142629,146470
45411,144235,61054,115009,143214,144667
45812,144128,60646,115603,141696,144292
47027,143890,62568,118892,140524,143732
45816,143252,61896,146682,140482,143844
44874,140655,62385,120641,140940,144451
45271,142246,60862,115487,141825,144637
45888,143222,61451,118022,140881,144497
45363,141073,62147,116992,140363,144925
54339,145847,61838,118005,139010,153029
45675,144629,60958,118485,144345,145672
45549,144858,62007,117512,142170,145103
44908,142679,61784,115179,141024,145455
45625,143849,61496,147616,142741,144968
44515,141515,61100,115892,142506,147359
45803,142838,61417,116942,141683,179299
46300,145122,61858,118575,141709,146481
44782,142417,61549,119571,141122,176925
44426,143211,61456,117376,141653,144637
44385,143592,62185,115502,139739,144994
45277,144125,62159,121265,140424,144704
44912,140468,60752,117671,139706,144451
45742,140841,78243,129295,141038,145525
44353,141061,62086,113045,140543,143827
45178,143781,60951,115576,141784,144743
45603,142030,62099,118581,142264,145617
46008,140782,61566,116128,140981,171088
45105,141489,61650,117956,140743,144799
44930,140889,61704,120564,140600,144503
44218,141649,61607,118849,142123,145384
45400,140434,62380,115507,140772,144511
